teamId,teamName,institution,site,isWomenOnly
1027318,ERROR404,"Indian Institute of Engineering Science and Technology, Shibpur",Kollam,false
1026711,CodeForced,"Indian Institute of Engineering Science and Technology, Shibpur",Kollam,false
1019490,GreedyGeeks,Indian Institute of Information Technology Allahabad,Kollam,false
1019499,Fake_Coders,Indian Institute of Information Technology Allahabad,Kollam,false
1027413,Infernus,"Indian Institute of Information Technology and Management, Gwalior",Kollam,false
1018542,Loading...,"Indian Institute of Information Technology and Management, Gwalior",Kollam,false
1028923,Algo Primes,Indian Institute of Information Technology Guwahati,Kollam,false
1023843,TechnoTitans,Indian Institute of Information Technology Kota,Kollam,false
1017491,binary_lifters,Indian Institute of Information Technology Kottayam,Kollam,false
1025677,Exceptionals,Indian Institute of Information Technology Nagpur,Kollam,false
1021004,Naam bade Darshan chote,Indian Institute of Information Technology Pune,Kollam,false
1018571,CppOnly,Indian Institute of Information Technology Pune,Kollam,false
1021621,TLE_Pretest11,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY RANCHI,Kollam,false
1027489,Snack Overflow,Indian Institute of Information Technology Tiruchirappalli,Kollam,false
1015625,BowBow,"Indian Institute of Information Technology, Lucknow",Kollam,false
1014674,dp_lagega_kya?,"Indian Institute of Information Technology, Lucknow",Kollam,false
1026048,mdspan,"Indian Institute of Information Technology, Sri City, Chittoor",Kollam,false
1033471,Forge,"Indian Institute of Information Technology, Una",Kollam,false
1031749,HackstreetBoys,Indian Institute of Technology - Bombay,Kollam,false
1022554,BitByBit,Indian Institute of Technology - Bombay,Kollam,false
1025366,Laziest Propagators,Indian Institute of Technology - Delhi,Kollam,false
1025325,mangal_daku,Indian Institute of Technology - Delhi,Kollam,false
1027417,HSS433,Indian Institute of Technology - Guwahati,Kollam,false
1027226,WA_addicts,Indian Institute of Technology - Guwahati,Kollam,false
1026783,Guffawed,Indian Institute of Technology - Guwahati,Kollam,false
1021857,ethOS,Indian Institute of Technology - Hyderabad,Kollam,false
1021856,100sage,Indian Institute of Technology - Hyderabad,Kollam,false
1021859,WeirdFishes,Indian Institute of Technology - Hyderabad,Kollam,false
1017379,Yeagerists,Indian Institute of Technology - Indore,Kollam,false
1014914,Bhakarwadi,Indian Institute of Technology - Indore,Kollam,false
1018834,Code_Dawgs,Indian Institute of Technology - Kanpur,Kollam,false
1018829,Null Pointers,Indian Institute of Technology - Kanpur,Kollam,false
1033243,The Blasters,Indian Institute of Technology - Madras,Kollam,false
1033247,Chaiitea,Indian Institute of Technology - Madras,Kollam,false
