,,ICPC Selected Teams for Amritapuri Regionals 2024
,,
Team ID,TeamName,Institution
1018866,PretestTwo,"Jadavpur University, Kolkata"
1016649,takeabyte,"Jadavpur University, Kolkata"
1009241,I_Love_36B_TTs,"Jadavpur University, Kolkata"
1022074,The three tier coders,Jalpaiguri Government Engineering College- Maulana Abul Kalam Azad University of Technology
1022473,Damodar,Jawaharlal Nehru University
1027650,Team 7,Jaypee Institute of Information Technology
1026815,BLWs,Jaypee Institute of Information Technology
1020713,Compiler Error,JIS University
1033780,Syntax_Squads,JSS Academy of Technical Education Noida
1023564,C0deBreakers,JSS Academy of Technical Education Noida
1029037,BinaryBrains 2.0,K L University
1032102,modulo_primes,Keshav Memorial Institute of Technology
1030654,5 candidate guardians,Keshav Memorial Institute of Technology
1031900,Pretesters,KIET GROUP OF INSTITUTIONS
1013972,Bitstorm,L. D. College of Engineering
1023054,TRIEfecta,M.S. Ramaiah Institute of Technology
1033409,BitByeBit,M.S. Ramaiah Institute of Technology
1020441,Code Busters,Madan Mohan Malaviya University of Technology-Gorakhpur
1027684,Runtimesleuths,Maharaja Agrasen Institute of Technology
1022698,Winwin03,Malviya National Institute of Technology Jaipur
1028182,69/70TestCasesPassed,"Manipal Institute of Technology, Manipal"
1022797,Code_Crafters,Maulana Azad National Institute of Technology Bhopal
1033722,Mavericks45,"MIT Academy of Engineering, Alandi"
1022747,Straw_hat_Pirates,Motilal Nehru National Institute of Technology - Allahabad
1022739,Ec_warriors,Motilal Nehru National Institute of Technology - Allahabad
1022740,SegmentThree,Motilal Nehru National Institute of Technology - Allahabad
1021045,1e9_plus_7,National Institute of Technology - Agartala
1023400,Algorithm Acharyas,National Institute of Technology - Agartala
1022907,Trie Harder,"National Institute of Technology Karnataka, Surathkul"
1027295,8aByte,"National Institute of Technology Karnataka, Surathkul"
1022908,Bipartite Boys,"National Institute of Technology Karnataka, Surathkul"
1019215,Dynamights,National Institute of Technology Patna
1026004,descendants of Tourist,National Institute of Technology Rourkela
1014243,IcyPeasy,NATIONAL INSTITUTE OF TECHNOLOGY TIRUCHIRAPPALLI
1018488,Cheta3Tea,NATIONAL INSTITUTE OF TECHNOLOGY TIRUCHIRAPPALLI
1025927,echo CP,NATIONAL INSTITUTE OF TECHNOLOGY TIRUCHIRAPPALLI
1031619,Goblin Barrel,"National Institute of Technology, Calicut"
1031622,Debugging ducks,"National Institute of Technology, Calicut"
1031777,Triple_S,"National Institute of Technology, Durgapur"
1020659,Mamba_Out,"National Institute of Technology, Hamirpur"
1019987,Bholenath Bhakt,"National Institute of Technology, Jamshedpur"
1019985,Tripod,"National Institute of Technology, Jamshedpur"
1014584,VoidORNullBack,"National Institute of Technology, Kurukshetra"
1019387,The Forkers,"National Institute of Technology, Raipur"
1023773,owo,"National Institute of Technology, Raipur"
1032927,Dead_lock,"National Institute of Technology, Silchar"
1017579,ICPCmaxxing,"National Institute of Technology, Silchar"
1031653,Sudo Delete Bios,"National Institute of Technology, Warangal"
1027556,Stardust Crusaders,"National Institute of Technology, Warangal"
1027234,ITNS,Netaji Subhash University Of Technology
1031855,op-team-ized,Netaji Subhash University Of Technology
1024901,Primary_key,Netaji Subhash University Of Technology
1022470,We_only_know_BruteForce,Nirma University
1024202,Phantom_Beasts,Nirma University
1022770,Probabilistic Losers,Nirma University
1022761,PersistentTriersUnofficial2.0,Nirma University
1023143,Binary Coders,"P.E.S. College of Engineering, Mandya"
1031141,XoRiers,Pandit Deendayal Energy University
1018458,TreepyTreaps,Pandit Deendayal Energy University
1025602,CODEGEEKS,"PDPM Indian Institute of Information Technology Design & Manufacturing, Jabalpur"
1011116,BLE,"PDPM Indian Institute of Information Technology Design & Manufacturing, Jabalpur"
1027027,__O(3)__,"Pimpri Chinchwad College Of Engineering and Research, Pune"
1010859,AuraBits,PSG Institute of Technology and Applied Research
1027949,HardStuckBlues,Pune Institute of Computer Technology
1028789,SweetCODE,Rajiv Gandhi Institute Of Petroleum Technology
1021733,RGUKT-B,"Rajiv Gandhi University of Knowledge Technologies, Basar"
1020872,Hetro Sapiens,Rishihood University
1031026,System Reboot,RNS Institute of Technology
1009162,Ctrl+Alt+Defeat,"RV Institute of Technology and Management, Bangalore"
1029304,Spit&Swallow,Sardar Patel Institute of Technology
1024657,The Windblown,Sardar Patel Institute of Technology
1019169,whoCares,Sardar Vallabhbhai National Institute of Technology
1024701,Haigure Haigure,Scaler School of Technology
1025196,Queue Underflow,Scaler School of Technology
1024445,GigaByteMe,"School of Engineering and Applied Science, Ahmedabad University"
1027081,AlgoARP,Shiv Nadar University Chennai
1034784,allwayBlue,Shri Govindram Seksaria Institute of Technology and Science
1020301,Cache us if you can,Sri Sivasubramaniya Nadar College of Engineering
1019924,Three,Techno Main Salt Lake (formerly known as Techno India Salt Lake)
1013214,Segmentation Assault,Thadomal Shahani Engineering College
1017578,Outlaws,Thapar Institute of Engineering & Technology
1032848,Code Alchemy,Thapar Institute of Engineering & Technology
1021532,MonkeBrains,The LNM Institute of Information Technology 
1020816,Logic Builders,"University of Engineering & Management, Kolkata"
1027127,Hope_is_hard,Veermata Jijabai Technological Institute
1021257,Null Ptrs,Veermata Jijabai Technological Institute
1021484,jKLMn,Veermata Jijabai Technological Institute
1022651,Ternary,Vellore Institute of Technology
1016329,Fullmetal Coders,"Vellore Institute of Technology, Bhopal"
1032145,ToBeDecided,"Vellore Institute of Technology, Bhopal"
1022151,TLE_gives_tears,"Vellore Institute of Technology, Chennai"
1022159,BoaConstructors,"Vellore Institute of Technology, Chennai"
1030656,bug_bounty,"Vellore Institute of Technology, Chennai"
1030030,Nip Pulse,Vishwakarma Institute of Technology
1019420,Verbatim,Vishwakarma Institute of Technology
1021558,Spec 3,"Visvesvaraya National Institute of Technology, Nagpur"
1021609,Team 07,"Visvesvaraya National Institute of Technology, Nagpur"
1025052,StrawHatz,VNR Vignana Jyothi Institute of Engineering & Technology
